date,recent_graduates,jobs,lsi
2022-02-01,41.4,869,4.76409666283084004600
2022-03-01,41.2,471,8.74734607218683651800
2022-04-01,41.1,305,13.47540983606557377000
2022-05-01,41,241,17.01244813278008298800
2022-06-01,40.8,461,8.85032537960954446900
2022-07-01,40.1,696,5.76149425287356321800
2022-08-01,40,237,16.87763713080168776400
2022-09-01,39.5,227,17.40088105726872246700
2022-10-01,39.6,400,9.90000000000000000000
2022-11-01,39,297,13.13131313131313131300
2022-12-01,38.5,126,30.55555555555555555600
2023-01-01,38.2,444,8.60360360360360360400
2023-02-01,38.6,306,12.61437908496732026100
2023-03-01,39.3,85,46.23529411764705882400
2023-04-01,39.4,216,18.24074074074074074100
2023-05-01,39.2,227,17.26872246696035242300
2023-06-01,40,257,15.56420233463035019500
2023-07-01,40,148,27.02702702702702702700
2023-08-01,40.4,157,25.73248407643312101900
2023-09-01,40.1,158,25.37974683544303797500
2023-10-01,40.4,186,21.72043010752688172000
2023-11-01,40.3,141,28.58156028368794326200
2023-12-01,40.6,269,15.09293680297397769500
2024-01-01,41,119,34.45378151260504201700
2024-02-01,41,222,18.46846846846846846800
2024-03-01,40.6,246,16.50406504065040650400
2024-04-01,40.5,118,34.32203389830508474600
2024-05-01,40.4,193,20.93264248704663212400
2024-06-01,40.5,87,46.55172413793103448300
2024-07-01,40.7,88,46.25000000000000000000
2024-08-01,40.6,71,57.18309859154929577500
2024-09-01,40.4,240,16.83333333333333333300
2024-10-01,39.8,44,90.45454545454545454500
2024-11-01,39.3,261,15.05747126436781609200
2024-12-01,38.9,323,12.04334365325077399400
2025-01-01,39.4,111,35.49549549549549549500
2025-02-01,40.3,102,39.50980392156862745100
2025-03-01,41.2,120,34.33333333333333333300
